city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Boksitogorsk,RU,59.474,33.8485,35.6,98,100,8.05,overcast clouds
275,Trairi,BR,-3.2778,-39.2689,80.69,77,27,11.56,scattered clouds
276,Beregovoy,RU,55.173,73.2198,26.65,92,100,6.22,overcast clouds
277,Sosnovka,RU,56.255,51.2842,32.63,92,81,9.26,broken clouds
278,Le Port,RE,-20.9373,55.2919,77.61,80,0,4.63,clear sky
279,Birjand,IR,32.8663,59.2211,45.16,16,0,6.42,clear sky
280,Kulu,TR,39.0951,33.0799,32.14,63,0,6.04,clear sky
281,Turukhansk,RU,65.8167,87.9833,-5.13,98,100,6.58,overcast clouds
282,Moundsville,US,39.9203,-80.7431,67.95,75,100,5.01,heavy intensity rain
283,Havelock,US,34.8791,-76.9013,69.78,88,44,1.01,scattered clouds
284,Concordia,AR,-31.393,-58.0209,62.31,67,0,13.06,clear sky
285,Passagem Franca,BR,-6.1797,-43.7836,75.0,70,33,2.26,scattered clouds
286,Isiro,CD,2.7739,27.616,65.3,99,89,1.86,overcast clouds
287,Paita,PE,-5.0892,-81.1144,63.12,84,87,11.68,overcast clouds
288,Sakakah,SA,29.9697,40.2064,55.09,40,88,6.08,overcast clouds
289,Inhambane,MZ,-23.865,35.3833,70.59,80,50,7.56,scattered clouds
290,Hamilton,US,39.1834,-84.5333,49.39,94,1,1.01,clear sky
291,Nizwa,OM,22.9333,57.5333,69.15,43,9,3.24,clear sky
292,Berlevag,NO,70.8578,29.0864,31.28,70,100,16.6,light snow
293,Koutsouras,GR,35.0339,25.9469,61.11,67,95,7.11,overcast clouds
294,Mirnyy,RU,62.5353,113.9611,8.67,94,100,6.35,overcast clouds
295,Dalvik,IS,65.9702,-18.5286,29.86,71,100,3.76,overcast clouds
296,Huntsville,US,34.7304,-86.5861,56.55,91,1,5.01,mist
297,Kongolo,CD,-5.3833,27.0,65.14,88,99,1.92,overcast clouds
298,Jalu,LY,29.0331,21.5482,63.0,62,0,7.18,clear sky
299,Sovetskiy,RU,61.3614,63.5842,22.19,95,100,9.55,light snow
300,Debe,TT,10.2,-61.45,79.32,94,10,6.69,clear sky
301,Sillamae,EE,59.3997,27.7547,42.85,78,64,24.56,broken clouds
302,Laje,BR,-10.1833,-40.9667,73.06,65,34,4.85,scattered clouds
303,Oksfjord,NO,70.2396,22.3479,32.07,92,100,6.71,light snow
304,Garowe,SO,8.4054,48.4845,69.62,73,91,6.24,overcast clouds
305,Kargasok,RU,59.0556,80.8572,4.66,97,34,3.76,scattered clouds
306,Benguela,AO,-12.5763,13.4055,75.15,84,34,4.18,scattered clouds
307,Itarema,BR,-2.9248,-39.9167,80.2,78,10,12.12,clear sky
